Year,Revenue (Million Euros),NA Proportion
2010,2666,0.18
2011,3143,0.18
2012,3639,0.19
2013,3561,0.2
2014,3497,0.2
2015,3898,0.22
2016,4378,0.21
2017,6211,0.21
2018,8285,0.21
2019,9628,0.2
