Year,Revenue (Million Euros),NA Proportion
2010,511,0.16
2011,683,0.14
2012,945,0.14
2013,1016,0.13
2014,1131,0.13
2015,1286,0.13
2016,1173,0.12
2017,1176,0.11
2018,1109,0.11
2019,1168,0.12
